Symbol,Value,Unit,Description
m_fsae,290,kg,VehicleTotalMassWithDriver(70kg)
m_f_Ratio,0.48,1,FrontAxleLoadRatio
WheelBase,1580,mm,Wheelbase
TrackWidth_f,1200,mm,FrontTrackWidth
TrackWidth_r,1180,mm,RearTrackWidth
CoG_h,285,mm,CentreOfGravityHeight
R_e,200,mm,TireRollingRadius
rh_std,50,mm,StandardRideHeightWithDriver
roll_grad,0.01309,rad/g,RollGradient
pitch_grad,0.01309,rad/g,PitchGradient
heave_stif,0.02,mm/N,HeaveGradient
GearRatio,43/11,1,GearRatio
TransmissionEfficiency,0.8,1,TransmissionEfficiency
capacity_accumulator,7.9,kW*h,AccumulatorCapacity
Mechanical_drag,100,N,MechanicalDrag